country,year,yhat,lightgbm_pred,hybrid_forecast,energy_yhat,energy_lightgbm_pred,energy_forecast
Brazil,1993,254.9744675978039,407.43440866470337,331.20443813125365,1725.9306062009725,2904.627716064453,2315.279161132713
Brazil,1994,264.87879691054485,407.43440866470337,336.15660278762414,1833.7988123580515,2904.627716064453,2369.2132642112524
Brazil,1995,273.8426171348113,407.43440866470337,340.6385128997573,1921.1369181380792,2904.627716064453,2412.8823171012664
Brazil,1996,281.86869584537624,407.43440866470337,344.6515522550398,1987.9331775558119,2904.627716064453,2446.2804468101326
Brazil,1997,299.36293156153573,407.43440866470337,353.3986701131196,2041.2214322468155,2904.627716064453,2472.924574155634
Brazil,1998,309.26726086964436,407.43440866470337,358.35083476717386,2149.0896377338363,2904.627716064453,2526.8586768991445
Brazil,1999,318.2310810884431,407.43440866470337,362.8327448765732,2236.4277433527664,2904.627716064453,2570.5277297086095
Brazil,2000,326.2571597934506,407.43440866470337,366.845784229077,2303.224002584277,2904.627716064453,2603.925859324365
Brazil,2001,343.7513955080534,407.43440866470337,375.5929020863784,2356.5122570189724,2904.627716064453,2630.5699865417128
Brazil,2002,353.65572481708523,407.43440866470337,380.5450667408943,2464.3804628911466,2904.627716064453,2684.5040894778
Brazil,2003,362.6195450393277,407.43440866470337,385.02697685201554,2551.723911600308,2904.627716064453,2728.1758138323803
Brazil,2004,370.64562375336493,407.43440866470337,389.04001620903415,2618.5268025833157,2904.627716064453,2761.5772593238844
Brazil,2005,388.1398594722472,407.43440866470337,397.7871340684753,2671.88220499653,2904.627716064453,2788.2549605304916
Brazil,2006,398.04418878485126,407.43440866470337,402.7392987247773,2779.829189870478,2904.627716064453,2842.2284529674653
Brazil,2007,407.00800900829796,407.43440866470337,407.22120883650064,2867.246075133052,2904.627716064453,2885.9368955987525
Brazil,2008,415.03408771686685,407.43440866470337,411.23424819078514,2934.121114182824,2904.627716064453,2919.3744151236388
Brazil,2009,432.52832343213504,407.43440866470337,419.9813660484192,2987.488364218866,2904.627716064453,2946.0580401416596
Brazil,2010,442.4326527340141,407.43440866470337,424.9335306993587,3095.435349032383,2904.627716064453,3000.031532548418
Brazil,2011,451.3957171669126,407.43440866470337,429.415062915808,3182.847396840862,2904.627716064453,3043.7375564526574
Brazil,2012,459.4156489173821,407.43440866470337,433.42502879104273,3249.6941622044114,2904.627716064453,3077.1609391344323
Brazil,2013,476.89805192477746,407.43440866470337,442.16623029474044,3302.9818997545735,2904.627716064453,3103.8048079095133
Brazil,2014,478.6798127165722,407.43440866470337,443.0571106906378,3378.718812638852,2904.627716064453,3141.6732643516525
Brazil,2015,479.5061029596962,407.43440866470337,443.47025581219975,3433.8780266525773,2904.627716064453,3169.252871358515
Brazil,2016,479.38104633456555,407.43440866470337,443.40772749963446,3468.481917582451,2904.627716064453,3186.554816823452
Brazil,2017,488.7009309154208,407.43440866470337,448.0676697900621,3489.4843509466114,2904.627716064453,3197.0560335055325
Brazil,2018,490.45247144525206,407.43440866470337,448.9434400549777,3565.1549480588646,2904.627716064453,3234.891332061659
Brazil,2019,491.2635028859359,407.43440866470337,449.3489557753196,3620.295444990533,2904.627716064453,3262.461580527493
Brazil,2020,491.13679281570376,407.43440866470337,449.28560074020356,3654.8940955864114,2904.627716064453,3279.760905825432
Brazil,2021,500.4559033452913,407.43440866470337,453.94515600499733,3675.896528980654,2904.627716064453,3290.2621225225535
Brazil,2022,502.2074438751089,407.43440866470337,454.8209262699061,3751.5671260929403,2904.627716064453,3328.0974210786967
Brazil,2023,503.0184753157986,407.43440866470337,455.226441990251,3806.7076230244743,2904.627716064453,3355.667669544464
Brazil,2024,501.83162636032876,407.43440866470337,454.63301751251606,3855.3865607957064,2904.627716064453,3380.00713843008
Canada,1993,471.3916572197762,550.8183116912842,511.1049844555302,3266.3077965330394,3761.3997650146484,3513.853780773844
Canada,1994,488.3223701913222,550.8183116912842,519.5703409413031,3337.156037300406,3761.3997650146484,3549.277901157527
Canada,1995,500.5582783703154,550.8183116912842,525.6882950307997,3390.0095369188894,3761.3997650146484,3575.704650966769
Canada,1996,508.0934847324437,550.8183116912842,529.455898211864,3424.822060296585,3761.3997650146484,3593.1109126556166
Canada,1997,513.2115760701743,550.8183116912842,532.0149438807292,3427.721139837779,3761.3997650146484,3594.5604524262135
Canada,1998,530.1422046352208,550.8183116912842,540.4802581632525,3498.5693802081437,3761.3997650146484,3629.9845726113963
Canada,1999,542.3774493228005,550.8183116912842,546.5978805070424,3551.406867655769,3761.3997650146484,3656.4033163352087
Canada,2000,549.9119744385507,550.8183116912842,550.3651430649174,3586.1958628732013,3761.3997650146484,3673.7978139439247
Canada,2001,555.0183459210298,550.8183116912842,552.918328806157,3589.029544799706,3761.3997650146484,3675.214654907177
Canada,2002,569.3432944272535,550.8183116912842,560.0808030592689,3659.7791219179944,3761.3997650146484,3710.5894434663214
Canada,2003,578.9709143247271,550.8183116912842,564.8946130080056,3712.525694809205,3761.3997650146484,3736.9627299119265
Canada,2004,574.908723587817,550.8183116912842,562.8635176395505,3737.967428679082,3761.3997650146484,3749.683596846865
Canada,2005,568.3916258670553,550.8183116912842,559.6049687791697,3724.812013631109,3761.3997650146484,3743.1058893228787
Canada,2006,573.7172310082107,550.8183116912842,562.2677713497474,3779.6376943297637,3761.3997650146484,3770.518729672206
Canada,2007,574.332097636659,550.8183116912842,562.5752046639716,3816.4673896283484,3761.3997650146484,3788.9335773214984
Canada,2008,570.2444213654679,550.8183116912842,560.5313665283761,3835.230340736651,3761.3997650146484,3798.3150528756496
Canada,2009,563.7077798498243,550.8183116912842,557.2630457705543,3822.0348060998103,3761.3997650146484,3791.7172855572294
Canada,2010,569.0156033481505,550.8183116912842,559.9169575197174,3876.832406842466,3761.3997650146484,3819.1160859285574
Canada,2011,569.6286207975944,550.8183116912842,560.2234662444394,3913.6352662863274,3761.3997650146484,3837.517515650488
Canada,2012,565.5409362271288,550.8183116912842,558.1796239592065,3932.3971493330328,3761.3997650146484,3846.8984571738406
Canada,2013,559.0042550730277,550.8183116912842,554.911283382156,3919.19032156981,3761.3997650146484,3840.295043292229
Canada,2014,564.3109418345321,550.8183116912842,557.5646267629081,3973.9369756818833,3761.3997650146484,3867.668370348266
Canada,2015,564.906902467095,550.8183116912842,557.8626070791896,4010.5881182316243,3761.3997650146484,3885.9939416231364
Canada,2016,560.7974331572958,550.8183116912842,555.80787242429,4005.042523411637,3761.3997650146484,3883.221144213143
Canada,2017,554.2350757570712,550.8183116912842,552.5266937241777,3956.7108726536912,3761.3997650146484,3859.05531883417
