country,co2_per_capita_calc,energy_per_capita
Jamaica,3.1823122882771654e-06,1.3666984595302629e-05
Japan,4.833903866070195e-06,1.9326800961554688e-05
Jordan,2.745315415303959e-06,1.181628380536576e-05
Kazakhstan,1.3083791411058315e-05,3.880513173440055e-05
Kenya,2.986038617684405e-07,1.3994575390549844e-06
Kiribati,4.190972193359203e-07,1.794122586319438e-06
Kosovo,0.0,0.0
Kuwait,1.7729628062126293e-05,4.6803881475174454e-05
Kyrgyzstan,1.34626511484127e-06,8.043763793424272e-06
Laos,7.142531056899096e-07,2.5849749597265566e-06
Latin America and Caribbean (Ember),,
Latvia,4.421252769713282e-06,2.2908515190370652e-05
Lebanon,3.255944015840061e-06,1.2719240883344976e-05
Lesotho,8.317696609067798e-07,1.02306731246412e-06
Liberia,2.3166793912906955e-07,1.2692956146228454e-06
Libya,4.216319677698726e-06,1.206161738405622e-05
Lithuania,5.411565815294273e-06,3.055331385050238e-05
Low-income countries,0.0,0.0
Lower-middle-income countries,0.0,0.0
Luxembourg,2.5359044735027354e-05,9.725099783839329e-05
Macao,2.5977442290951137e-06,1.6128032242468842e-05
Madagascar,6.403941527796029e-08,1.6647543034809085e-07
Malawi,7.717058000221921e-08,3.8925654016719364e-07
Malaysia,2.389096040640188e-06,9.904728129631613e-06
Maldives,1.8343525391132352e-06,8.095415536715486e-06
Mali,1.201746498444953e-07,4.991268927103338e-07
Malta,5.237408361588844e-06,4.489924004718497e-05
Martinique,0.0,1.2328334032363411e-05
Mauritania,6.541628370455671e-07,3.16130520637479e-06
Mauritius,2.1401731912346854e-06,1.1780446746319948e-05
Mexico,2.51903826779594e-06,7.166540980993495e-06
Micronesia (country),9.749949565895433e-07,2.813078706382329e-06
Middle Africa (EI),,
Middle East (EI),,
Middle East (EIA),,
Middle East (Ember),,
Middle East (Shift),,
Moldova,1.7101042561214848e-06,1.0450044412594712e-05
Mongolia,2.7392920350351576e-06,4.28303098989937e-06
Montenegro,3.560002209392868e-06,1.6904189759896665e-05
Montserrat,5.7299649728739845e-06,2.5398620350403394e-05
Morocco,5.876052491466212e-07,2.0176671162385104e-06
Mozambique,1.195660661944135e-07,3.637943291310029e-07
Myanmar,1.5210960322088824e-07,4.722103484104702e-07
Namibia,1.2200515672100916e-06,6.410080784827843e-06
Nauru,9.036183341464338e-06,4.47753634850592e-05
